"","beta_1","beta_2","beta_3","beta_4"
"Intercept",-0.361192608870297,-0.601564166246496,0.36991228814411,1.10155887005361
"V1",1.50453678959038,-0.121696424505848,1.18184486672618,1.48250726202589
"V2",-0.436642381285683,2.27275444152325,1.75319612171913,0.250053274857687
"V3",0.281330481421414,1.52364285526292,1.66519881427638,1.39874219089496
"V4",0,0,0,0
"V5",0,0,0,0
"V6",0.427930667124681,2.20064302240341,0.78673992517951,-0.239133031034699
"V7",0.47649276879528,1.01791451378971,-0.256272220081036,2.22902325924449
"V8",0,0,0,0
"V9",0,0,0,0
"V10",0,0,0,0
"V11",0,0,0,0
"V12",0,0,0,0
"V13",0,0,0,0
"V14",0,0,0,0
"V15",0,0,0,0
"V16",0,0,0,0
"V17",0,0,0,0
"V18",0,0,0,0
"V19",0,0,0,0
"V20",0,0,0,0
"V21",0,0,0,0
"V22",0,0,0,0
"V23",0,0,0,0
"V24",0,0,0,0
"V25",0,0,0,0
"V26",0,0,0,0
"V27",0,0,0,0
"V28",0,0,0,0
"V29",0,0,0,0
"V30",0,0,0,0
"V31",0,0,0,0
"V32",0,0,0,0
"V33",0,0,0,0
"V34",0,0,0,0
"V35",0,0,0,0
"V36",0,0,0,0
"V37",0,0,0,0
"V38",0,0,0,0
"V39",0,0,0,0
"V40",0,0,0,0
"V41",0,0,0,0
"V42",0,0,0,0
"V43",0,0,0,0
"V44",0,0,0,0
"V45",0,0,0,0
"V46",0,0,0,0
"V47",0,0,0,0
"V48",0,0,0,0
"V49",0,0,0,0
"V50",0,0,0,0
"V51",0,0,0,0
"V52",0,0,0,0
"V53",0,0,0,0
"V54",0,0,0,0
"V55",0,0,0,0
"V56",0,0,0,0
"V57",0,0,0,0
"V58",0,0,0,0
"V59",0,0,0,0
"V60",0,0,0,0
"V61",0,0,0,0
"V62",0,0,0,0
"V63",0,0,0,0
"V64",0,0,0,0
"V65",0,0,0,0
"V66",0,0,0,0
"V67",0,0,0,0
"V68",0,0,0,0
"V69",0,0,0,0
"V70",0,0,0,0
"V71",0,0,0,0
"V72",0,0,0,0
"V73",0,0,0,0
"V74",0,0,0,0
"V75",0,0,0,0
"V76",0,0,0,0
"V77",0,0,0,0
"V78",0,0,0,0
"V79",0,0,0,0
"V80",0,0,0,0
"V81",0,0,0,0
"V82",0,0,0,0
"V83",0,0,0,0
"V84",0,0,0,0
"V85",0,0,0,0
"V86",0,0,0,0
"V87",0,0,0,0
"V88",0,0,0,0
"V89",0,0,0,0
"V90",0,0,0,0
"V91",0,0,0,0
"V92",0,0,0,0
"V93",0,0,0,0
"V94",0,0,0,0
"V95",0,0,0,0
"V96",0,0,0,0
"V97",0,0,0,0
"V98",0,0,0,0
"V99",0,0,0,0
"V100",0,0,0,0
